student_id,gender,age,parent_education,family_income_band,travel_time_mins,study_hours_per_week,attendance_rate,past_failures,tutoring,internet_access,sleep_hours,screen_time_hours,extracurricular_hours,discipline_incidents,late_submissions,participation_score,quiz_avg,assignment_avg,midterm_score,behavior_label,final_score,performance_label
1,F,16,none,middle,44,6.7,0.889,0,1,1,8.66,4.03,3.19,0,1,32.4,52.4,62.9,47.3,Engaged,60.3,Medium
2,M,15,bachelor,low,10,9.1,0.854,0,0,0,7.66,5.16,3.23,1,1,78.3,56.0,43.6,100.0,Neutral,53.0,Medium
3,F,20,bachelor,middle,15,10.0,0.896,2,0,1,5.57,0.98,4.35,0,1,77.5,52.9,53.9,29.5,At-Risk,43.8,Low
4,F,20,bachelor,middle,55,11.3,0.819,0,0,0,6.64,7.6,4.31,1,3,65.6,48.9,85.0,30.9,At-Risk,47.8,Low
5,M,21,bachelor,high,23,16.7,0.801,1,0,1,8.26,6.16,1.86,0,0,53.2,70.3,54.5,28.0,Engaged,47.4,Low
6,F,22,high_school,high,49,11.6,0.836,0,0,1,6.12,2.91,7.88,0,1,47.6,70.5,80.5,60.1,Engaged,73.0,Medium
7,F,18,high_school,middle,25,1.6,0.814,0,1,1,7.92,4.26,5.3,0,2,53.2,73.2,78.2,69.5,At-Risk,74.9,Medium
8,F,21,high_school,low,26,6.6,1.0,0,0,1,8.56,3.09,0.88,0,1,68.0,72.0,65.3,53.4,Engaged,68.0,Medium
9,M,20,master,middle,17,11.0,0.951,0,0,1,8.36,4.8,2.45,0,1,37.3,54.5,45.3,69.4,Neutral,59.8,Medium
10,M,17,high_school,low,36,16.7,0.763,0,0,1,7.12,4.32,0.0,0,0,71.4,54.5,69.0,69.1,At-Risk,80.3,High
11,M,21,phd,high,42,17.8,1.0,0,1,1,8.4,4.66,2.25,1,0,66.1,82.1,34.2,52.8,Engaged,61.7,Medium
12,F,15,high_school,low,6,20.6,0.817,1,1,0,6.27,2.14,5.55,0,2,84.3,52.6,59.5,68.5,Engaged,61.9,Medium
13,F,19,none,low,17,10.8,0.863,1,0,0,9.88,3.24,7.76,0,1,75.5,52.3,71.9,56.1,Engaged,62.7,Medium
